post_title,sku,product_id,ca_product
Moulin de Gassac IGP Pays d'Hérault Rouge Mazet du Levant 2017,14573,6127,0.0
Domaine La Croix Belle Côtes de Thongue Rosé Les Grillons 2019,16159,6042,153.0
Château de La Liquière Faugères L'Ampoule 2019,16264,6047,414.2
Christophe Pichon Saint-Joseph Blanc 2017,14899,6049,65.4
Christophe Pichon Condrieu 2017,15134,6050,0.0
Borie La Vitarèle Pays d'Hérault Les Cigales 2019,16133,6070,9.3
Clos du Mont-Olivet Côtes-du-Rhône Blanc 2019,16028,6072,122.39999999999999
Jacqueson Rully Rouge 1er Cru Les Preaux 2018,15951,6073,0.0
Château de Villeneuve Saumur-Champigny 2017,15487,6093,12.6
Château de Villeneuve Saumur-Champigny Clos de la Bienboire 2018,15486,6094,0.0
Château de Villeneuve Saumur-Champigny Le Grand Clos 2017,15489,6095,0.0
Stéphane Tissot Arbois Blanc La Mailloche 2016,14089,6101,0.0
Stéphane Tissot Arbois Trousseau Amphore 2017,14100,6103,0.0
Stéphane Tissot Arbois Blanc Savagnin 2015,14092,6104,0.0
Stéphane Tissot Côtes du Jura Sursis 2017,14090,6105,243.59999999999997
Stéphane Tissot Château-Chalon 2011,14106,6106,0.0
Stéphane Tissot Arbois Vin Jaune En Spois 2011,14101,6107,0.0
Gilles Robin Cornas 2016,14797,6108,0.0
Gilles Robin Saint-Joseph Rouge André Péalat 2010,15201,6109,39.2
Champagne Gosset Célébris Vintage 2007,14923,6126,270.0
Lucien Boillot Gevrey Chambertin 1er Cru Les Cherbaudes 2017,15710,6299,0.0
Borie La Vitarèle Saint-Chinian Midi Rouge 2015,15745,6301,0.0
Tempier Bandol Blanc 2018,15678,6325,0.0
Weingut Besson-Strasser Zürich Pinot Noir Cholfirst 2017,15793,6629,37.7
Weingut Besson-Strasser Zürich Pinot Noir Chlosterberg 2016,15794,6632,52.7
Domaine de la Monardière Vacqueyras Vieilles Vignes 2016,15763,6635,22.4
Catherine et Claude Maréchal Pommard La Chanière 2017,16152,6663,0.0
Catherine et Claude Maréchal Savigny-Lès-Beaune Rouge 2017,15661,6664,0.0
Domaine Hauvette IGP Alpilles Jaspe 2017,16068,6665,27.7
Domaine Hauvette IGP Alpilles Dolia 2013,16067,6666,0.0
Emile Boeckel Crémant Chardonnay Extra Brut 2016,8193,6738,46.2
Château Simone Palette Blanc 2017,16144,6751,0.0
Château Simone Palette Rouge 2015,15256,6753,0.0
Domino Romano Ribera del Duero RDR 2015,15735,6884,0.0
Gratavinum Priorat GV5 2011,14897,6886,0.0
Gratavinum Priorat 2?r 2017,15736,6887,0.0
Château Jean Faure Saint-Emilion Grand Cru 2015,15740,6920,0.0
Château Jean Faure Saint-Emilion Grand Cru 2016,15845,6926,49.9
Le Cèdre de Jean Faure Saint-Emilion 2016,15741,6928,38.0
Mouthes Le Bihan Côtes de Duras L'Aimé Chai 2015,16135,6930,42.0
Camin Larredya Jurançon Sec La Virada 2018,15891,7023,0.0
Domaine Jamet Côte Rôtie Fructus Voluptas 2018,15887,7025,0.0
Clos du Mont-Olivet Châteauneuf-du-Pape 2007,13127-1,7247,0.0
Weingut Besson-Strasser Zürich Pinot Noir Albi 2016,15795,6631,0.0
Weingut Besson-Strasser Zürich Blauer Zweigelt 2016,15792,6628,0.0
Le Pas de l'Escalette IGP Pays d'Hérault Les Clapas Blanc 2018,15810,6328,0.0
Weingut Besson-Strasser Zürich Fumé 2017,15791,6627,41.8
"Decelle-Villa Côte de Nuits Villages ""Aux Montagnes"" 2014",15779,6567,0.0
Decelle-Villa Chambolle-Musigny 2017,15707,6568,0.0
Decelle-Villa Chorey-Lès-Beaune 2016,15705,6569,87.0
Decelle-Villa Marsannay Les Longeroies 2015,15706,6570,0.0
Decelle-Villa Saint-Aubin 1er Cru Sous Roche Dumay 2015,15704,6572,0.0
